yourlist:M20200825A94466D2655679D1FD8953E075198DA8554439Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P07742	P07742	RIR1_MOUSE	reviewed	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)	Rrm1	Mus musculus (Mouse)	792
O55003	O55003	BNIP3_MOUSE	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	Bnip3 Nip3	Mus musculus (Mouse)	187
O28972	O28972	Y1297_ARCFU	reviewed	Cell division cycle protein 48 homolog AF_1297	AF_1297	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	733
Q8IZ83	Q8IZ83	A16A1_HUMAN	reviewed	Aldehyde dehydrogenase family 16 member A1	ALDH16A1	Homo sapiens (Human)	802
Q961J5	Q961J5	BALAT_DROME	reviewed	Beta-alanine transporter (BalaT)	Balat CG3790	Drosophila melanogaster (Fruit fly)	604
Q8WXD9	Q8WXD9	CSKI1_HUMAN	reviewed	Caskin-1 (CASK-interacting protein 1)	CASKIN1 KIAA1306	Homo sapiens (Human)	1431
C0HLB2	C0HLB2	VKT_PSEPC	reviewed	Kunitz-type serine protease inhibitor PPTI (Pseudocerastes persicus trypsin inhibitor) (PPTI)		Pseudocerastes persicus (Persian horned viper) (False horned viper)	68
P30405	P30405	PPIF_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)	PPIF CYP3	Homo sapiens (Human)	207
Q9STG6	Q9STG6	DUT_ARATH	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase) (dUTP-pyrophosphatase-like 1) (AtDUT1)	DUT DUT1 At3g46940 T6H20.30	Arabidopsis thaliana (Mouse-ear cress)	166
Q61329	Q61329	ZFHX3_MOUSE	reviewed	Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3)	Zfhx3 Atbf1	Mus musculus (Mouse)	3726
Q9EPA7	Q9EPA7	NMNA1_MOUSE	reviewed	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (NMN/NaMN adenylyltransferase 1) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide mononucleotide adenylyltransferase 1) (NMN adenylyltransferase 1) (Nicotinate-nucleotide adenylyltransferase 1) (NaMN adenylyltransferase 1)	Nmnat1 D4Cole1e Nmnat	Mus musculus (Mouse)	285
Q9FE63	Q9FE63	PRF3_ARATH	reviewed	Profilin-3 (AtPRF3) (AthPRF3)	PRF3 PRO5 At5g56600 MIK19.4	Arabidopsis thaliana (Mouse-ear cress)	168
Q6AXT8	Q6AXT8	SF3A2_RAT	reviewed	Splicing factor 3A subunit 2	Sf3a2	Rattus norvegicus (Rat)	471
Q9XZC8	Q9XZC8	SEM2A_SCHGR	reviewed	Semaphorin-2A (Sema-2A) (Sema II)	SEMA-2A	Schistocerca gregaria (Desert locust) (Gryllus gregarius)	697
Q24432	Q24432	OMB_DROME	reviewed	Optomotor-blind protein (Lethal(1)optomotor-blind) (L(1)omb) (Protein bifid)	bi OMB CG3578	Drosophila melanogaster (Fruit fly)	972
Q5ZJG8	Q5ZJG8	HSDL1_CHICK	reviewed	Hydroxysteroid dehydrogenase-like protein 1 (EC 1.1.1.-)	HSDL1 RCJMB04_18f7	Gallus gallus (Chicken)	331
Q8GYX8	Q8GYX8	DNJ10_ARATH	reviewed	Chaperone protein dnaJ 10 (AtDjC10) (AtJ10)	ATJ10 C10 J10 At1g76700 F28O16.7	Arabidopsis thaliana (Mouse-ear cress)	398
Q55D66	Q55D66	PSB3_DICDI	reviewed	Proteasome subunit beta type-3 (EC 3.4.25.1)	psmB3 DDB_G0269772	Dictyostelium discoideum (Slime mold)	205
P80455	P80455	RS12_DROME	reviewed	40S ribosomal protein S12	RpS12 RpS12E CG11271	Drosophila melanogaster (Fruit fly)	139
Q503C8	Q503C8	NUDC1_DANRE	reviewed	NudC domain-containing protein 1	nudcd1 zgc:110705	Danio rerio (Zebrafish) (Brachydanio rerio)	585
Q12834	Q12834	CDC20_HUMAN	reviewed	Cell division cycle protein 20 homolog (p55CDC)	CDC20	Homo sapiens (Human)	499
Q9UNX3	Q9UNX3	RL26L_HUMAN	reviewed	60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)	RPL26L1 RPL26P1	Homo sapiens (Human)	145
Q10453	Q10453	H331_CAEEL	reviewed	Histone H3.3 type 1	his-71 F45E1.6	Caenorhabditis elegans	136
Q8L725	Q8L725	MTPC1_ARATH	reviewed	Metal tolerance protein C1 (AtMTPc1) (AtMTP6)	MTPC1 MTP6 At2g47830 F17A22.22	Arabidopsis thaliana (Mouse-ear cress)	471
O59896	O59896	LAC1_PYCCI	reviewed	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Ligninolytic phenoloxidase) (Urishiol oxidase)	LCC3-1 LAC3 LCC1	Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)	518
Q641Y2	Q641Y2	NDUS2_RAT	reviewed	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Ndufs2	Rattus norvegicus (Rat)	463
Q92540	Q92540	SMG7_HUMAN	reviewed	Protein SMG7 (EST1-like protein C) (SMG-7 homolog) (hSMG-7)	SMG7 C1orf16 EST1C KIAA0250	Homo sapiens (Human)	1137
O60583	O60583	CCNT2_HUMAN	reviewed	Cyclin-T2 (CycT2)	CCNT2	Homo sapiens (Human)	730
Q9XT26	Q9XT26	CCNT1_HORSE	reviewed	Cyclin-T1 (CycT1) (Cyclin-T)	CCNT1	Equus caballus (Horse)	727
Q7TQK0	Q7TQK0	CCNT2_MOUSE	reviewed	Cyclin-T2 (CycT2)	Ccnt2	Mus musculus (Mouse)	723
Q5R814	Q5R814	PRP4B_PONAB	reviewed	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 pre-mRNA-processing factor 4 homolog)	PRPF4B	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	1007
Q0EEE2	Q0EEE2	PTHD3_MOUSE	reviewed	Patched domain-containing protein 3 (RND-type protein RNDEu-3)	Ptchd3	Mus musculus (Mouse)	906
Q4JLT5	Q4JLT5	NTCP5_RAT	reviewed	Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5)	Slc10a5 P5	Rattus norvegicus (Rat)	434
P43004	P43004	EAA2_HUMAN	reviewed	Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2)	SLC1A2 EAAT2 GLT1	Homo sapiens (Human)	574
Q9V3B6	Q9V3B6	CWC15_DROME	reviewed	Protein CWC15 homolog	c12.1 CG12135	Drosophila melanogaster (Fruit fly)	259
Q95ZS2	Q95ZS2	TDC1_CAEEL	reviewed	Tyrosine decarboxylase (EC 4.1.1.25)	tdc-1 K01C8.3	Caenorhabditis elegans	705
P06872	P06872	TRY2_CANLF	reviewed	Anionic trypsin (EC 3.4.21.4)		Canis lupus familiaris (Dog) (Canis familiaris)	247
Q86AX3	Q86AX3	HUTU_DICDI	reviewed	Probable urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	uroc1 DDB_G0277727	Dictyostelium discoideum (Slime mold)	672
Q8BY02	Q8BY02	NKRF_MOUSE	reviewed	NF-kappa-B-repressing factor (NFkB-repressing factor) (Transcription factor NRF)	Nkrf Nrf	Mus musculus (Mouse)	690
Q58A65	Q58A65	JIP4_MOUSE	reviewed	C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (JNK-associated leucine-zipper protein) (JLP) (JNK/SAPK-associated protein 2) (JSAP2) (Mitogen-activated protein kinase 8-interacting protein 4) (Sperm-associated antigen 9)	Spag9 Jip4 Jsap2 Kiaa0516 Mapk8ip4	Mus musculus (Mouse)	1321
Q9EQ06	Q9EQ06	DHB11_MOUSE	reviewed	Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8)	Hsd17b11 Dhrs8 Pan1b	Mus musculus (Mouse)	298
Q06331	Q06331	TBA_ENTDO	reviewed	Tubulin alpha chain		Enteroctopus dofleini (North Pacific giant octopus) (Octopus dofleini)	451
Q9D479	Q9D479	UVSSA_MOUSE	reviewed	UV-stimulated scaffold protein A	Uvssa Kiaa1530	Mus musculus (Mouse)	717
B4LVU6	B4LVU6	PDE6_DROVI	reviewed	cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35)	Pde6 GJ23019	Drosophila virilis (Fruit fly)	893
Q96D70	Q96D70	R3HD4_HUMAN	reviewed	R3H domain-containing protein 4	R3HDM4 C19orf22	Homo sapiens (Human)	268
Q2KIL7	Q2KIL7	R3HD4_BOVIN	reviewed	R3H domain-containing protein 4	R3HDM4	Bos taurus (Bovine)	272
Q9VR50	Q9VR50	S35E1_DROME	reviewed	Solute carrier family 35 member E1 homolog	CG14621	Drosophila melanogaster (Fruit fly)	373
Q5U241	Q5U241	PD5BB_XENLA	reviewed	Sister chromatid cohesion protein PDS5 homolog B-B (Androgen-induced proliferation inhibitor B)	pds5b-b aprin-b	Xenopus laevis (African clawed frog)	1464
Q8WYA6	Q8WYA6	CTBL1_HUMAN	reviewed	Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)	CTNNBL1 C20orf33 PP8304	Homo sapiens (Human)	563
O62703	O62703	CTBL1_BOVIN	reviewed	Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (p14)	CTNNBL1	Bos taurus (Bovine)	563
Q56FH2	Q56FH2	RS4_LYSTE	reviewed	40S ribosomal protein S4	RpS4	Lysiphlebus testaceipes (Greenbugs aphid parastoid)	262
Q2KIU2	Q2KIU2	PMVK_BOVIN	reviewed	Phosphomevalonate kinase (PMKase) (EC 2.7.4.2)	PMVK	Bos taurus (Bovine)	192
F6ZDS4	F6ZDS4	TPR_MOUSE	reviewed	Nucleoprotein TPR (NPC-associated intranuclear protein) (Translocated promoter region and nuclear basket protein)	Tpr	Mus musculus (Mouse)	2431
Q8VC42	Q8VC42	RMC1_MOUSE	reviewed	Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1)	Rmc1 Mic1 Wdr98	Mus musculus (Mouse)	657
P34440	P34440	HCP3L_CAEEL	reviewed	Histone H3-like centromeric protein cpar-1 (CENP-A-related protein 1) (Centromeric protein A related)	cpar-1 F54C8.2	Caenorhabditis elegans	261
Q6QN10	Q6QN10	NACA_CHILA	reviewed	Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC)		Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	215
Q98TX3	Q98TX3	PDCD4_CHICK	reviewed	Programmed cell death protein 4 (Protein I11/6)	PDCD4	Gallus gallus (Chicken)	467
B3M2I7	B3M2I7	ARMET_DROAN	reviewed	Mesencephalic astrocyte-derived neurotrophic factor homolog (MANF/CDNF-like protein)	Manf GF18493	Drosophila ananassae (Fruit fly)	173
P29865	P29865	COX2_DROSU	reviewed	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt:CoII CoII	Drosophila subobscura (Fruit fly)	229
Q4V8V1	Q4V8V1	BM1LA_DANRE	reviewed	Breast cancer metastasis-suppressor 1-like protein-A	brms1la brms1l zgc:114129	Danio rerio (Zebrafish) (Brachydanio rerio)	323
A4FV29	A4FV29	BRM1L_BOVIN	reviewed	Breast cancer metastasis-suppressor 1-like protein	BRMS1L	Bos taurus (Bovine)	323
Q8TFM9	Q8TFM9	RLA2_FUSCU	reviewed	60S acidic ribosomal protein P2 (allergen Fus c 1)		Fusarium culmorum	109
B4LMQ3	B4LMQ3	FBSP1_DROVI	reviewed	F-box/SPRY domain-containing protein 1	Fsn GJ21788	Drosophila virilis (Fruit fly)	252
Q9R0N0	Q9R0N0	GALK1_MOUSE	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	Galk1 Galk Glk	Mus musculus (Mouse)	392
Q9U6A1	Q9U6A1	PROS_DROVI	reviewed	Homeobox protein prospero	pros	Drosophila virilis (Fruit fly)	1556
Q8HXM1	Q8HXM1	CSTF2_BOVIN	reviewed	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)	CSTF2	Bos taurus (Bovine)	572
Q93594	Q93594	NCBP2_CAEEL	reviewed	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20)	ncbp-2 cbp-20 F26A3.2	Caenorhabditis elegans	158
Q6INE5	Q6INE5	RHG19_XENLA	reviewed	Rho GTPase-activating protein 19 (Rho-type GTPase-activating protein 19)	arhgap19	Xenopus laevis (African clawed frog)	507
Q14CB8	Q14CB8	RHG19_HUMAN	reviewed	Rho GTPase-activating protein 19 (Rho-type GTPase-activating protein 19)	ARHGAP19	Homo sapiens (Human)	494
Q5F3G0	Q5F3G0	RHG19_CHICK	reviewed	Rho GTPase-activating protein 19 (Rho-type GTPase-activating protein 19)	ARHGAP19 RCJMB04_18c11	Gallus gallus (Chicken)	495
Q54Z69	Q54Z69	RL4_DICDI	reviewed	60S ribosomal protein L4	rpl4 DDB_G0277803	Dictyostelium discoideum (Slime mold)	369
P35679	P35679	RL4A_SCHPO	reviewed	60S ribosomal protein L4-A (L2)	rpl402 rpl2 rpl4 rpl4a SPBP8B7.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	363
F4KGU4	F4KGU4	DEAHC_ARATH	reviewed	ATP-dependent RNA helicase DEAH12, chloroplastic (EC 3.6.4.13)	At5g10370 F12B17_280	Arabidopsis thaliana (Mouse-ear cress)	1775
P0CE10	P0CE10	DEAHB_ARATH	reviewed	ATP-dependent RNA helicase DEAH11, chloroplastic (EC 3.6.4.13)	At4g01020 F3I3.40	Arabidopsis thaliana (Mouse-ear cress)	1787
Q9HS44	Q9HS44	FOLCP_HALSA	reviewed	Probable bifunctional folylpolyglutamate synthase/dihydropteroate synthase [Includes: Probable folylpolyglutamate synthase (EC 6.3.2.17) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase); Probable dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)]	folP VNG_0412G	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	815
Q8N490	Q8N490	PNKD_HUMAN	reviewed	Probable hydrolase PNKD (EC 3.-.-.-) (Myofibrillogenesis regulator 1) (MR-1) (Paroxysmal nonkinesiogenic dyskinesia protein) (Trans-activated by hepatitis C virus core protein 2)	PNKD KIAA1184 MR1 TAHCCP2 FKSG19 UNQ2491/PRO5778	Homo sapiens (Human)	385
Q6GLX7	Q6GLX7	CWC27_XENLA	reviewed	Spliceosome-associated protein CWC27 homolog (Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homolog) (PPIase CWC27)	cwc27 sdccag10	Xenopus laevis (African clawed frog)	477
Q6UX04	Q6UX04	CWC27_HUMAN	reviewed	Spliceosome-associated protein CWC27 homolog (Antigen NY-CO-10) (Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homolog) (PPIase CWC27) (Serologically defined colon cancer antigen 10)	CWC27 SDCCAG10 UNQ438/PRO871	Homo sapiens (Human)	472
Q9EPL9	Q9EPL9	ACOX3_MOUSE	reviewed	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	Acox3	Mus musculus (Mouse)	700
Q63448	Q63448	ACOX3_RAT	reviewed	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	Acox3 Prcox	Rattus norvegicus (Rat)	700
Q0P5A6	Q0P5A6	PSMD5_BOVIN	reviewed	26S proteasome non-ATPase regulatory subunit 5	PSMD5	Bos taurus (Bovine)	503
G5EFS4	G5EFS4	DCPS_CAEEL	reviewed	m7GpppX diphosphatase (EC 3.6.1.59) (Decapping scavenger enzyme) (Heat shock-like protein) (Protein DCS-1) (Scavenger mRNA-decapping enzyme DcpS)	dcs-1 hsl-1 Y113G7A.9	Caenorhabditis elegans	311
O81884	O81884	GALDH_ARATH	reviewed	L-galactose dehydrogenase (At-GalDH) (L-GalDH) (EC 1.1.1.316)	LGALDH At4g33670 T16L1.160	Arabidopsis thaliana (Mouse-ear cress)	319
Q28FC1	Q28FC1	UBE2W_XENTR	reviewed	Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (Ubiquitin carrier protein W) (Ubiquitin-protein ligase W)	ube2w TEgg096e02.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	151
Q9LQV2	Q9LQV2	RDR1_ARATH	reviewed	RNA-dependent RNA polymerase 1 (AtRDRP1) (EC 2.7.7.48) (RNA-directed RNA polymerase 1)	RDR1 RDRP1 At1g14790 F10B6.19	Arabidopsis thaliana (Mouse-ear cress)	1107
Q68A21	Q68A21	PURB_RAT	reviewed	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	Purb	Rattus norvegicus (Rat)	315
Q9TSM4	Q9TSM4	GSTM2_MACFA	reviewed	Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2)	GSTM2	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	218
P08515	P08515	GST26_SCHJA	reviewed	Glutathione S-transferase class-mu 26 kDa isozyme (GST 26) (EC 2.5.1.18) (Sj26 antigen) (SjGST)		Schistosoma japonicum (Blood fluke)	218
P15626	P15626	GSTM2_MOUSE	reviewed	Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST 5-5) (GST class-mu 2) (Glutathione S-transferase pmGT2)	Gstm2	Mus musculus (Mouse)	218
Q8L7W2	Q8L7W2	NUDT8_ARATH	reviewed	Nudix hydrolase 8 (AtNUDT8) (EC 3.6.1.-)	NUDT8 NUDX8 At5g47240 MQL5.10	Arabidopsis thaliana (Mouse-ear cress)	369
S0F332	S0F332	PAP_GEOSE	reviewed	Protein-arginine-phosphatase (PAP) (EC 3.9.1.2) (Phosphoarginine phosphatase)	ywle	Geobacillus stearothermophilus (Bacillus stearothermophilus)	148
Q8BS35	Q8BS35	ALKMO_MOUSE	reviewed	Alkylglycerol monooxygenase (EC 1.14.16.5) (Transmembrane protein 195)	Agmo Tmem195	Mus musculus (Mouse)	447
Q9VGY6	Q9VGY6	SKEL1_DROME	reviewed	Protein Skeletor, isoforms B/C	Skeletor CG43161	Drosophila melanogaster (Fruit fly)	784
A1EA07	A1EA07	PSAB_AGRST	reviewed	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	Agrostis stolonifera (Creeping bentgrass)	734
Q9BU79	Q9BU79	TM243_HUMAN	reviewed	Transmembrane protein 243 (MDR1- and mitochondrial taxol resistance-associated protein) (MM-TRAG)	TMEM243 C7orf23	Homo sapiens (Human)	118
Q6DCX5	Q6DCX5	PCFT_XENLA	reviewed	Proton-coupled folate transporter (Heme carrier protein 1) (PCFT/HCP1) (Solute carrier family 46 member 1)	slc46a1 hcp1 pcft	Xenopus laevis (African clawed frog)	463
J9VJ99	J9VJ99	PFA4_CRYNH	reviewed	Palmitoyltransferase PFA4 (EC 2.3.1.225) (Protein S-acyltransferase) (PAT) (Protein fatty acyltransferase 4)	PFA4 CNAG_03981	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) (Filobasidiella neoformans var. grubii)	456
P53034	P53034	RFC2_DROME	reviewed	Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40) (Replication factor C subunit 4) (DmRfc4)	RfC4 RfC40 CG14999	Drosophila melanogaster (Fruit fly)	331
Q69ZQ1	Q69ZQ1	MYORG_MOUSE	reviewed	Myogenesis-regulating glycosidase (EC 3.2.1.-) (Nuclear envelope transmembrane protein 37) (Uncharacterized family 31 glucosidase KIAA1161)	Myorg Kiaa1161 Net37	Mus musculus (Mouse)	716
P52556	P52556	BLVRB_BOVIN	reviewed	Flavin reductase (NADPH) (FR) (EC 1.5.1.30) (Biliverdin reductase B) (BVR-B) (EC 1.3.1.24) (Biliverdin-IX beta-reductase) (Green heme-binding protein) (GHBP) (NADPH-dependent diaphorase) (NADPH-flavin reductase) (FLR)	BLVRB	Bos taurus (Bovine)	206
Q1DDU6	Q1DDU6	KMO_MYXXD	reviewed	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)	kmo MXAN_0916	Myxococcus xanthus (strain DK 1622)	464
O42182	O42182	FBLN1_DANRE	reviewed	Fibulin-1 (FIBL-1)	fbln1	Danio rerio (Zebrafish) (Brachydanio rerio)	681
Q29KG4	Q29KG4	AFFL_DROPS	reviewed	AF4/FMR2 family member lilli (Protein lilliputian)	lilli GA21343	Drosophila pseudoobscura pseudoobscura (Fruit fly)	1770
O70165	O70165	FCN1_MOUSE	reviewed	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	Fcn1 Fcna	Mus musculus (Mouse)	334
Q96DW6	Q96DW6	S2538_HUMAN	reviewed	Mitochondrial glycine transporter (Mitochondrial glycine transporter GlyC) (Solute carrier family 25 member 38)	SLC25A38	Homo sapiens (Human)	304
A4QNN3	A4QNN3	UBP30_XENTR	reviewed	Ubiquitin carboxyl-terminal hydrolase 30 (EC 3.4.19.12) (Deubiquitinating enzyme 30) (Ubiquitin thioesterase 30) (Ubiquitin-specific-processing protease 30) (Ub-specific protease 30)	usp30 TEgg099b09.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	519
Q9W462	Q9W462	UBP30_DROME	reviewed	Ubiquitin carboxyl-terminal hydrolase 30 homolog (dUSP30) (EC 3.4.19.12) (Deubiquitinating enzyme 30 homolog) (Ubiquitin thioesterase 30 homolog) (Ubiquitin-specific-processing protease 30 homolog) (Ub-specific protease 30 homolog)	Usp30 CG3016	Drosophila melanogaster (Fruit fly)	558
Q7SY48	Q7SY48	HEAT1_DANRE	reviewed	HEAT repeat-containing protein 1 (Protein BAP28)	heatr1 zgc:63510	Danio rerio (Zebrafish) (Brachydanio rerio)	2159
P09437	P09437	CYB2_WICAO	reviewed	Cytochrome b2, mitochondrial (EC 1.1.2.3) (L-lactate dehydrogenase [Cytochrome]) (L-lactate ferricytochrome C oxidoreductase) (L-LCR)	CYB2	Wickerhamomyces anomalus (Yeast) (Hansenula anomala)	573
Q9USM5	Q9USM5	UBP1_SCHPO	reviewed	Probable ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1)	ubp1 SPCC16A11.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	849
Q8CGR7	Q8CGR7	UPP2_MOUSE	reviewed	Uridine phosphorylase 2 (UPase 2) (UrdPase 2) (EC 2.4.2.3) (Liver-specific uridine phosphorylase) (L-UrdPase)	Upp2	Mus musculus (Mouse)	320
Q9CZR2	Q9CZR2	NALD2_MOUSE	reviewed	N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylaspartylglutamate peptidase II) (NAAG-peptidase II) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II)	Naalad2	Mus musculus (Mouse)	740
Q6ZT89	Q6ZT89	S2548_HUMAN	reviewed	Solute carrier family 25 member 48	SLC25A48	Homo sapiens (Human)	311
Q6NWK2	Q6NWK2	AP2MA_DANRE	reviewed	AP-2 complex subunit mu-A (AP-2 mu-A chain) (Clathrin assembly protein complex 2 mu-A medium chain) (Clathrin coat assembly protein AP50-A) (Clathrin coat-associated protein AP50-A) (Mu2-adaptin-A) (Plasma membrane adaptor AP-2 50 kDa protein A)	ap2m1a si:ch211-252f13.2 zgc:85653	Danio rerio (Zebrafish) (Brachydanio rerio)	436
Q5ZMP6	Q5ZMP6	AP2M1_CHICK	reviewed	AP-2 complex subunit mu (AP-2 mu chain) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein)	AP2M1 RCJMB04_1h23	Gallus gallus (Chicken)	433
P58375	P58375	RL30_SPOFR	reviewed	60S ribosomal protein L30	RpL30	Spodoptera frugiperda (Fall armyworm)	113
Q8N755	Q8N755	S66A3_HUMAN	reviewed	Solute carrier family 66 member 3 (PQ-loop repeat-containing protein 3)	SLC66A3 C2orf22 PQLC3	Homo sapiens (Human)	202
Q8VBX6	Q8VBX6	MPDZ_MOUSE	reviewed	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	Mpdz Mupp1	Mus musculus (Mouse)	2055
Q6PCX7	Q6PCX7	RGMA_MOUSE	reviewed	Repulsive guidance molecule A (RGM domain family member A)	Rgma	Mus musculus (Mouse)	454
P45521	P45521	ACT_PROCL	reviewed	Actin (Fragment)		Procambarus clarkii (Red swamp crayfish)	322
Q16526	Q16526	CRY1_HUMAN	reviewed	Cryptochrome-1	CRY1 PHLL1	Homo sapiens (Human)	586
Q8BMG8	Q8BMG8	MFTC_MOUSE	reviewed	Mitochondrial folate transporter/carrier (Solute carrier family 25 member 32)	Slc25a32 Mftc	Mus musculus (Mouse)	316
Q3SYU1	Q3SYU1	NOC2L_BOVIN	reviewed	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	NOC2L NIR	Bos taurus (Bovine)	746
Q02942	Q02942	TRF_BLADI	reviewed	Transferrin		Blaberus discoidalis (Tropical cockroach)	726
Q9VB98	Q9VB98	Y5521_DROME	reviewed	Probable Rho GTPase-activating protein CG5521	CG5521	Drosophila melanogaster (Fruit fly)	1958
P46063	P46063	RECQ1_HUMAN	reviewed	ATP-dependent DNA helicase Q1 (EC 3.6.4.12) (DNA helicase, RecQ-like type 1) (RecQ1) (DNA-dependent ATPase Q1) (RecQ protein-like 1)	RECQL RECQ1 RECQL1	Homo sapiens (Human)	649
Q6AYJ1	Q6AYJ1	RECQ1_RAT	reviewed	ATP-dependent DNA helicase Q1 (EC 3.6.4.12) (DNA-dependent ATPase Q1) (RecQ protein-like 1)	Recql Recql1	Rattus norvegicus (Rat)	621
